	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
35	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.7	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
36	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.7	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
37	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.7	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
38	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.7	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
39	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.7	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
40	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.9	1.0	1.0	1.0	1.0	1.0
41	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.9	1.0	1.0	1.0	1.0	1.0
42	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.9	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
43	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.9	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
44	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.9	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
45	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.9	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
46	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.9	0.17533957933551567	0.17533957933551567	0.17533957933551567	0.2727272727272727	0.3333333333333333
47	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.9	0.12405136364276362	0.12038011176542923	0.12218816742018695	0.3076923076923077	0.36363636363636365
48	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.9	0.1091043634220065	0.1091043634220065	0.1091043634220065	0.09090909090909091	0.1111111111111111
49	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.9	0.0985314616391873	0.09561546133981882	0.09705156297672869	0.13333333333333333	0.16666666666666666
50	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.7	1.0	1.0	1.0	1.0	1.0
51	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.7	1.0	1.0	1.0	1.0	1.0
52	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.7	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
53	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.7	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
54	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.7	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
55	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.7	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
56	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.7	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
57	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.7	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
58	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.7	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
59	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.7	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
60	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.97	1.0	1.0	1.0	1.0	1.0
61	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.97	1.0	1.0	1.0	1.0	1.0
62	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
63	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
64	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.97	0.5345223313391279	0.5345223313391279	0.5345223313391279	0.75	0.75
65	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.97	0.4772575113746601	0.4772575113746601	0.47725751137466005	0.7777777777777778	0.7777777777777778
66	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.97	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.3	0.3333333333333333
67	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.97	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.38461538461538464	0.45454545454545453
68	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.97	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.1	0.1111111111111111
69	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.97	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.2	0.25
70	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.97	1.0	1.0	1.0	1.0	1.0
71	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.97	1.0	1.0	1.0	1.0	1.0
72	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
73	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
74	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.97	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
75	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.97	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
76	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.97	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
77	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.97	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
78	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.97	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
79	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.97	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
80	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.8	1.0	1.0	1.0	1.0	1.0
81	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.8	1.0	1.0	1.0	1.0	1.0
82	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
83	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
84	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.8	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
85	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.8	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
