	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
35	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.4741211642211608	0.47129350038940276	0.47270310364084234	0.7	0.7777777777777778
36	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.09874545226445866	0.09871944413089012	0.09873244648490664	0.2727272727272727	0.3333333333333333
37	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.1148207965362015	0.1141360040443236	0.11447737620896044	0.35714285714285715	0.45454545454545453
38	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.032492786350520636	0.032484228217380944	0.032488506720354235	0.09090909090909091	0.1111111111111111
39	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.08990756331397547	0.08937135361871319	0.08963865658500153	0.1875	0.25
40	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	1.0	1.0	1.0	1.0	1.0
41	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	1.0	1.0	1.0	1.0	1.0
42	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
43	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
44	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5345223313391279	0.5345223313391279	0.5345223313391279	0.75	0.75
45	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.4772575113746601	0.4772575113746601	0.47725751137466005	0.7777777777777778	0.7777777777777778
46	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.14141300121659078	0.14141300121659078	0.14141300121659078	0.2727272727272727	0.3333333333333333
47	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.16282501468799956	0.16282501468799956	0.16282501468799956	0.35714285714285715	0.45454545454545453
48	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.07517778530308161	0.07517778530308161	0.07517778530308161	0.09090909090909091	0.1111111111111111
49	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.13806036426238916	0.13806036426238916	0.13806036426238916	0.1875	0.25
50	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	1.0	1.0	1.0	1.0	1.0
51	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	1.0	1.0	1.0	1.0	1.0
52	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
53	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
54	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
55	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
56	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
57	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
58	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
59	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
60	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	1.0	1.0	1.0	1.0	1.0
61	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	1.0	1.0	1.0	1.0	1.0
62	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
63	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
64	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5343996989085434	0.5342589457049328	0.5343293130374245	0.6666666666666666	0.75
65	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.4741211642211608	0.47129350038940276	0.47270310364084234	0.7	0.7777777777777778
